location,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,smokers,AirPolutioIndex
Belgium,11632334,375.564,42658.576,114.898,4.29,81.63,0.931,56.5,18.71212121
Czechia,10724553,137.176,32605.906,227.485,6.82,79.38,0.9,68.8,8.80952381
France,67564251,122.578,38605.671,86.06,4.77,82.66,0.901,65.7,43.7704918
Germany,83900471,237.016,45229.245,156.139,8.31,81.33,0.947,61.3,98.05277778
Greece,10370747,83.479,24574.382,175.695,4.55,82.24,0.888,87.3,13
Italy,60367471,205.859,35220.084,113.151,4.78,83.51,0.892,47.6,325.0754717
Netherlands,17173094,508.544,48472.545,109.361,5.29,82.28,0.944,51.7,12.97058824
Poland,37797000,124.027,27216.445,227.331,5.91,78.73,0.88,56.4,24.17919075
Portugal,10167923,112.371,27936.896,127.842,9.85,82.05,0.864,46.3,15.65909091
Romania,19127772,85.129,23313.199,370.946,9.74,76.05,0.828,60,99.60555556
Russia,145912022,8.823,24765.954,431.297,6.18,72.58,0.824,81.7,5.188679245
Spain,46745211,93.105,34272.36,99.403,7.17,83.56,0.904,58.8,15.92258065
Sweden,10160159,24.718,46949.283,133.982,4.79,82.8,0.945,37.7,14.42564103
Ukraine,43466822,77.39,7894.393,539.849,7.11,72.06,0.779,60.9,12.99337748
United Kingdom,68207114,272.898,39753.244,122.137,4.28,81.32,0.932,44.7,66.25609756
United States,332915074,35.608,54225.446,151.089,10.79,78.86,0.926,43.7,56.72752809
Canada,38067913,4.037,44017.591,105.599,7.37,82.43,0.929,28.6,13.06417112
Norway,5465629,14.462,64800.057,114.316,5.31,82.4,0.957,40.3,10.95121951
